id	field_years	location	title	year	authors	publisher
299	1928-1929	"Suriname, 1928-1929"	Rebel destiny: among the bush Negroes of Dutch Guiana	1934	"Herskovits, Melville Jean"	"New York: Whittlesey House, McGraw-Hill Book Company, Inc."
300	1966-1987		Alabi's world	1990	"Price, Richard"	Baltimore: Johns Hopkins University Press.
301	1966-1968	1700-1970	Saramaka social structure: analysis of a maroon society in Surinam	1975	"Price, Richard"	"Rio Piedras: Institute of Caribbean Studies, University of Puerto Rico."
302		"Ucayali River area, Peru"	"Myth, cosmos, and ceremony among the Shipibo"	1982	"Roe, Peter G."	"The cosmic zygote : cosmology in the Amazon Basin, New Brunswick, N. J.: Rutgers University Press. 32-126, 313-331, 343-365 p."
303	1939-1940	"Cubeo Indians; VaupÌ©s River region, Colombia, South America, 1939-1940"	The Cubeo: Indians of the Northwest Amazon	1963	"Goldman, Irving"	"Urbana , Illinois: University of Illinois Press."
304	1947-1958	"VaupÌ©s - Caiari river area, Colombian - Brazilian border area, South America, ca. 1900-1958"	The indigenous civilization of the UaupÌ©s	1962	"Silva, Alcionilio Bruzzi Alves da"	Sao Paulo: Centro de Pesquisas de IauaretÌ©.
305	1574	"Brazil, 1574"	Treatise on the land of Brazil	1922	"Gandavo, Pero de Magalhaes"	"The histories of Brazil -- Vol. II, New York: The Cortes Society. 125-232 p."
306	1954-1970	"Orinoco Delta, Venezuela, South America, 1954-1970"	The fishermen: the Warao of the Orinoco Delta	1972	"Wilbert, Johannes"	"Survivors of Eldorado; four Indian cultures of South America, New York: Praeger Publishers. 65-115 p."
307		"Tierra del Fuego, Chile"	The Yahgan	1946	"Cooper, John M."	"Handbook of South American Indians, edited by Julian H. Stewart, volume 1,The marginal tribes, Washington: U.S. G.P.O. 81-106 p."
308	1918-1924	"Tierra del Fuego, Chile, 1918-1924"	The Yahgan: the life and thought of the water nomads of Cape Horn	1937	"Gusinde, Martin"	"Die Feuerland-Indianer [The Fuegian Indians]--Vol. II, MÌ_dling bei Wein: Anthropos-Bibliothek. HRAF: xv, 1471 p. [incomplete] [original: 365-1185, 1278-1499 p.]"
309	"1982-1983, 1985"	"Kisi District,Southwest Kenya East Africa"	"Bridewealth, women, and land: social change among the Gusii of Kenya"	1988	"HÌ´kansson, Thomas"	"Uppsala ; Stockholm, Sweden: [Uppsala University] ; Distributed by Almqvist & Wiksell International"
310	June 1967-April 1969	"Dobe area, Botswana"	Demography of the Dobe !Kung	1979	"Howell, Nancy"	New York: Academic Press
311	1926-1928	"Namibia, Botswana"	Native cultures in southwest and south Africa: Vol. 2	1934	"Lebzelter, Viktor"	Leipzig: Karl W. Hiersemann
312	1963-1973	"Dobe area, Botswana and Namibia"	"The !Kung San: men, women, and work in a foraging society"	1979	"Lee, Richard B."	"Cambridge, [Eng.] ; New York: Cambridge University Press"
313	1969-1971	"Dobe area, northwest Botswana"	Nisa: the life and words of a !Kung woman	1981	"Shostak, Marjorie"	"Cambridge, Mass.: Harvard University Press"
314	1967-1969	"Dobe !Kung, northwest Botswana"	Medical research among the !Kung	1976	"Truswell;StewartHansen, Stewart A, and John D"	"Cambridge, Mass.: Harvard University Press"
315	"1940, 1952-53, 1955-56, 1956-57"	"KwaZulu-Natal Province, South Africa"	The social functions of avoidances and taboos among the Zulu	1973	"Raum, Otto Friedrich"	"Berlin, New York: de Gruyter"
316	1956-1957	"Nyuswa Reserve, KwaZulu-Natal Province, South Africa"	Zulu transformations: a study of the dynamics of social change	1962	"Vilakazi, Absolom"	Pietermaritzburg: University of Natal Press
317	1830-1881	KwaZulu-Natal Province	A Zulu king speaks: statements made by Cetshwayo kaMpande on the history and customs of his people	1978	"Webb,Wright, Colin de B,John B."	Pietermaritzburg: University of Natal
318	1962-1977	"Nilgiri Hills, Tamil Nadu State, India"	Ancient Hindu refugees: Badaga social history 1550-1975	1980	"Hockings, Paul"	The Hague ; New York: Mouton
319	1962-1977	"Nilgiri Hills, Tamil Nadu State, India"	Sex and disease in a mountain community	1980	"Hockings, Paul"	"Sahibabad, Distt. Ghaziabad: Vikas Publishing Pvt Ltd"
320	1915-1920	"Xining Prefecture, Qinghai Province, China"	Marriage among the T'u-jen of Kansu (China)	1932	"Schram, Louis"	"Shanghai, China: Catholic Mission Press"
321	1911-1922	"Qinghai and Gansu provinces, China"	The Monguors of the Kansu-Tibetan frontier: Part III. Records of the Monguor clans : history of the Monguors in Huangchung and the chronicles of the Lu family	1961	"Schram, Louis"	"Philadelphia, Pa.: American Philosophical Society,"
322	1911-1922	"Xining Prefecture, Qinghai Province, China"	The Monguors of the Kansu-Tibetan frontier: Part II. their religious life	1957	"Schram, Louis"	"Philadelphia, Pa.: American Philosophical Society"
323	1911-1922	"Xining Prefecture, Qinghai Province, China"	"The Monguors of the Kansu-Tibetan frontier: their origin, history and social organization"	1954	"Schram, Louis"	"Philadelphia, Pa.: American Philosophical Society"
324	1946-1949	"Xining Prefecture, Qinghai Province, China"	On the religion of the Tujen of the Sining Region (Koko Nor)	1952	"SchrÌ_der, DominikNeuse"	"Anthropos -- Vol 47; Vol 48 [Freiburg], Switzerland: Anthropos-Institut"
325	1930-1937	Dominica	Kinship and social structure of the Island Carib	1946	"Taylor, Douglas MacRae"	Southwestern journal of anthropology -- Vol. 2 Albuquerque: University of New Mexico
326	1965-1992	Iran	Sources of female power in Iran	1994	"Friedl, Erika"	"In the eye of the storm : women in post-revolutionary Iran, edited by Mahnaz Afkhami and Erika Friedl London ; New York: I.B. Tauris Publishers"
327	1966-1979	Iran	Iranians	2004	"Hegland, Mary Elaine"	Encyclopedia of sex and gender;Kluwer Academic Plenum Publishers
328	1923	Iran	Persian beliefs and customs	1954	"MassÌ©,, Henri"	New Haven [Conn.]: Human Relations Area Files
329	1969-1974	Israel	Power and ritual in the Israel Labor Party: a study in political anthropology	1993	"Aronoff, Myron Joel"	"Armonk, N.Y.: M.E. Sharpe"
330	"1976-1978, 1980-1984"	Israel	Communal webs: communication and culture in contemporary Israel	1991	"Katrie, Tamar"	Albany: State University of New York Press
331	1993-1995	Israel	The great immigration: Russian Jews in Israel	1998	"Siegel, Dina"	"Providence, R. I.: Berghahn Books"
332	1965-1994	"Deh Koh, Fars, Iran"	Children of Deh Koh: young life in an Iranian village	1997	"Friedl, Erika"	Syracuse University Press
333	1965-1985	"Deh Koh, Fars, Iran"	Women of Deh Koh: lives in an Iranian village	1989	"Friedl, Erika"	"Washington: Smithsonian Institution Press,"
334	1711-1792	"Fox Islands, Alaska, United States"	Account of the Russian discoveries between Asia and America	1804	"Coxe, W."	London: Cadell and Davies
335	1823-1834	"Western Aleutian Islands, Alaska, United States"	Notes on the Athin Aleuts and the Koloshi	1840	"Innokentii, Saint"	Russian-American Company
336	1823-1834	"Unalaska and Fox Islands, Alaska, United States"	Notes on the Islands of the Unalaska District	1840	"Innokentii, Saint"	Russian-American Company
337	July 1967- March 1968	"Unalaska, Alaska, United States"	"A study of social and economic problems in Unalaska, an Aleut village"	1970	"Jones, Dorothy Miriam"	"Ann Arbor, Mich.: University Microfilms"
338	not specified	"Aleutian Islands, Alaska, United States"	Aleut	1984	"Lantis, Margaret"	Smithsonian Institution
339	1933-1934	"Aleutian Islands, Alaska, United States"	"The Aleut social system: 1750 to 1810, from early historical sources"	1970	"Lantis, Margaret"	Ethnohistory in southwestern Alaska and the southern Yukon;University Press of Kentucky
340	1933	"Chugach Eskimos, Prince William Sound area, Alaska, United States"	The Chugach Eskimo	1953	"Birket-Smith, Kaj"	Kobenhavn: Nationalmuseets publikationsfond
341	1987-1991	"Kodiak Island, Alaska, United States"	The Kodiak Region	1992	"Endter-Wada,RachelMulcahy, JoannaMason,Joanne B"	Social indicators study of Alaskan coastal villages. I. Key informant summaries -- Vol. 2;The Region
342	1931-1936	"Kodiak Island, Alaska, United States"	The anthropology of Kodiak Island	1975	"Hrdlicka, Ales"	AMS Press
343	1928-1929	Papua New Guinea	Manus religion: an ethnological study of the Manus natives of the Admiralty Islands	1935	"Fortune, Reo"	The American Philosophical Society
344	"1928-1929, 1953"	Papua New Guinea	"New lives for old: cultural transformation--Manus, 1928-1953"	1956	"Mead, Margaret"	New York: Morrow
345	none	"Island of Tongatabu, Tonga"	Notes on Tongan religion	1921	"Collocott, E. E. V"	The journal of the Polynesian Society
346	1986	Tonga	Kinship to kingship: gender hierarchy and state formation in the Tongan Islands	1987	"Gailey, Christine Ward"	University of Texas Press
347	1920-1921	Tonga	Tongan society	1929	"Gifford, Edward Winslow"	"Honolulu, Hawaii: The Museum"
348	1979-1989	"Village of Holonga, Tonga"	Becoming Tongan: an ethnography of childhood	1996	"Lee, Helen Morton"	Honolulu: University of Hawai'i Press
349	1806-1810	Tonga	"An account of the natives of the Tonga islands, in the South Pacific ocean: with an original grammar and vocabulary of their language"	1818	"Mariner, Wiliam"	London: J. Murray
350	August 1890 - June 1891	"Vavau, Tonga"	The diversions of a prime minister	1894	"Thomson, Basil Home"	W. Blackwood and Sons
351	1900	"Yap State, Federated States of Micronesia"	The Carolines Island Yap	1906	"Salesius, Father"	Berlin: Wilhelm SÌ_sserot
352	1900	"Yap State, Federated States of Micronesia"	Ethnographic contributions concerning the Caroline Islands of Yap	1903	"Senfft, Arno"	Doktor A. Petermann's Mitteilungen aus Justus Perthes' geographischer Anstalt
353	1975-1978	"Argentina, Bolivia, Chile, Ecuador, and Peru"	"Moon, sun, and witches: gender ideologies and class in Inca and colonial Peru"	1987	"Silverblatt, Irene Marsha"	Princeton University Press
354	1902	Peru	Travelling in the Aguaruna Region	1928	"BrÌ_ning, Hans H."	Baessler-Archic
355	"1956-1957, 1964, 1969"	Ecuador	The JÌ_varo: people of the sacred waterfalls	1973	"Harner, Michael J."	"Garden City, N.Y.: Anchor Press"
356	1916-1929	Peru and Ecuador	The head-hunters of Western Amazonas: the life and culture of the Jibaro Indians of eastern Ecuador and Peru	1935	"Karsten, Rafael"	Helsingfors: Centraltryckeriet
357	Unknown	Peru	The Indians of northeastern Peru	1930	"Tessmann, GÌ_nter"	"Friedrichsen, de Gruyter & Co."
358	1897	Peru	Head hunters of the Amazon: seven years of exploration and adventure	1923	"Up de Graff, Fritz W"	Duffield and Company
359		Ghana 1700-1900	Political and military Roles of Akan Women	1983	"Arhin, Kawme"	Female and male in West Africa
360	no date	"Cote d'Ivoire, Ghana, and Togo"	Culture summary: Akan	2000	"Gilbert, Michelle Lagace; Lagace, Robert O.; Skoggard, Ian"	"New Haven, Conn.: HRAF"
361	no date	Fanti; Ghana	The Fanti Asafu	1932	"Johnson, J. C. de Graft"	"Africa -- Vol. 5 London: Oxford University Press for the International African Institute, 1932. 307-"
362		Ghana 1700-1900	Place of 'oaths' in the constitutional set-up of Asante	1989	"Mensa-Bonsu, Henrietta J."	"Law and anthropology -- Vol. 4 Vienna: VWGÌ_, 1989. 259-280 p"
363	1952-1954	Ghana	Funeral dirges of the Akan people	1969	"Nketia, J.H. Kwabena"	New York: Negro Universities Press
364		Ghana 1800's	Ashanti proverbs: (the primitive ethics of a savage people)	1916	"Rattray, Robert Sutherland"	"Oxford, England: At the Clarendon Press"
365	no date	Fanti; Ghana	"Fanti customary laws: a brief introduction to the principles of the native laws and customs of the Fanti and Akan Districts of the Gold Coast, with a report of some cases thereon decided in the law courts"	1904	"Rattray, Robert Sutherland"	London: William Clowes and Son
366	no date	Ethiopia	Culture summary: Amhara	1998	"Messing, Simon D.; Skoggard, Ian"	"New Haven, Conn.: HRAF"
367	ca. 1925	"Sudan, Democratic Republic of the Congo, Central African Republic"	An account of the Zande	1927	"Larken, P.M."	"Sudan notes and records -- Vol. 9, Vol. 10 Khartoum: [s.n.], 1-55 p., 85-135. p"
368	1958-1989	Northern Zambia	Bemba-speaking women of Zambia in a century of religious change (1892-1992)	1994	"Hinfelaar, Hugo F."	"Leiden ; New York ; Koln: E. J. Brill, xiv, 224 p."
369	"1978-79, 81"	Northeastern Zambia	Bemba myth and ritual: the impact of literacy on an oral culture	1983	"Maxwell, Kevin B."	New York: P. Lang
370	1978-1992	"Tireli, Bandiagara, Mali"	The innocent sorcerer: coping with evil in two African societies (Kapsiki & Dogon)	1994	"Beek, W. E. A. van"	"Religion in Africa : experience & expression, edited by Thomas D. Blakely, Walter E. A. van Beek, De"
371	1940-1947; 1965	Zambia	The judicial process among the Barotse of Northern Rhodesia	1967	"Gluckman, Max"	"Manchester: Manchester University Press, published on behalf of the Institute for Social Research, U"
372	1895 - ca. 1908	Kenya and Tanzania	The Masai: ethnographic monograph of an East African Semite people	1910	"Merker, Meritz"	Berlin: Dietrich Reimer (Ernst Vohsen)
373	Jul. 1976-Sept. 1977	"Matapato, Kenya"	The Maasai of Matapato: a study of rituals of rebellion	1996	"Spencer, Paul"	"Bloomington, Ind.: Indiana University Press"
374	no date	"Benue State, Nigeria"	The Tiv people	1933	"Abraham, Roy CLive"	Lagos: The Government Printer
375	no date	Senegal 1600-1976	La famille wolof: tradition et changement	1985	"Diop, Abdoulaye Bara"	"Paris: Karthala,"
376	no date	Senegal and The Gambia	Culture summary: Wolof	1999	"Lagace, Robert O.; Skoggard, Ian"	"New Haven, Conn.: HRAF"
377	no date	"eastern Siberia, Russia"	"The Chukchee: material culture, religion, social organization "	1909	"Bogoraz-Tan, Vladimir Germanovich"	"Leiden ; New York: E. J. Brill, Ltd. ; G. E. Stechert and Co."
378	1979-1983	"Mymensingh District, Bangladesh"	"Garo of Bangladesh: religion, ritual and world view"	1988	"Khaleque, Kibriaul"	"Singapore: Board of Editors, Contributions to Southeast Asian Ethnography"
379	no date	"Sarawak, Malaysia"	"Female and male in Borneo : contributions and challenges to gender studies, edited by Vinson H. Sutlive Jr."	1991	"Davison, Julian"	"Williamsburg, Va.: The Borneo Research Council, Inc., Department of Anthropology, College of William"
380	1894-1897	Korea	Korea and her neighbors	1898	"Bishop, Isabella Bird"	New York: Fleming H. Revell Company
381	no date	Korea	Modern Korea	1944	"Grajdanzev, Andrew J."	New York: Institute of Pacific Relations
382	1947	"Kanghwa Island, Korea"	The Koreans and their culture	1951	"Osgood, Cornelius"	New York: The Ronald Press Company
383	1967-1973	Republic of Korea	Kinship system in Korea	1998	"Yi, Kwang-gyu"	"New Haven, Conn.: Human Relations Area Files, 1975"
384	1942-1946	"Santal Parganas District, Bihar, India"	"The hill of flutes: life, love, and poetry in tribal India : a portrait of the Santals"	1974	"Archer, William George"	Pittsburgh: University of Pittsburgh Press
385	no date	"'Chaochang,' Hai-shan region, Taipei hsien, Taiwan"	Women asking women: an ethnography of health care in rural Taiwan	1977	"Gould-Martin, Katherine"	"Ann Arbor, Mich.: Xerox University Microfilms"
386	no date	"Chang-hua hsien, Taipei hsien, Kuei-shan Island, and Chia-i hsien, Taiwan"	Taiwanese architecture and the supernatural	1974	"Wang, Sung-hsing"	Religion and ritual in Chinese societ
387	1937-1941	Serbia and Montenegro	Family in transition: a study of 300 Yugoslav villages	1966	"Erlich, Vera St."	"Princeton, N.J.: Princeton University Press"
388	no date	"Turkey, Syria, Iraq, Iran, Azerbaijan, and Turkmenistan"	The Kurds: a concise handbook	1992	"Izady, Mehrdad"	"Washington, D.C.: Crane Russak, Taylor & Francis International Publisher"
389	1903-1911	"northern Montana, United States; southern Alberta, Canada"	Ceremonial bundles of the Blackfoot Indians	1912	"Wissler, Clark"	New York: The Trustees
390	1978-1980	"Holman Island, Northwest Territories, Canada"	Inuit behavior and seasonal change in the Canadian Arctic	1983	"Condon, Richard G."	"Ann Arbor, Mich.: UMI Research Press"
391	1913-1916	"Northwest Territories, Canada"	The life of the Copper Eskimos	1922	"Jenness, Diamond"	"Ottawa, Ont.: F.A. Acland"
392	no date	"United States, Canada"	Culture summary: Ojibwa	2000	"Brown, Jennifer S. H."	"New Haven, Conn.: HRAF, 2000"
393	no date	"Twentieth Century Ojibwa, Temagami region, Ontario, Canada"	"The Temagami experience: recreation, resources, and aboriginal rights in the northern Ontario wilderness"	1989	"Hodgins, Bruce W."	Toronto ; Buffalo: University of Toronto Press
394	no date	"Northeastern Ontario, Canada"	Moose to moccasins: the story of Ka Kita Wa Pa No Kwe	1992	"Theriault, Madeline"	"Toronto, Ont.: Natural Heritage/Natural History"
395	no date	Central Ojibwa: United States and Canada	Traditional Ojibwa religion and its historical changes	1983	"Vecsey, Christopher"	Philadelphia: American Philosophical Society
396	no date	"Skidi (Skiri), Chawi (Chaui), Kitkahahki, and Pitahawirata bands; northern Kansas and Nebraska, United States"	"Pawnee passage, 1870-1875"	1990	"Blaine, Martha Royce"	Norman: University of Oklahoma Press
397	1931-1932	"southeastern Alaska, United States"	Crime and punishment in Tlingit society	1934	"Oberg, K."	"American Anthropologist -- Vol. 36, no. 2Menasha: The American Anthropological Association"
398	1947-1948	"Chuuk State, Federated States of Micronesia"	"Property, kin, and community on Truk"	1951	"Goodenough, Ward Hunt"	"New Haven: Published for Dept. of Anthropology, Yale University, Yale University Press"
399	1954-1955	"Kamu Valley, central Highlands, Irian Jaya, Indonesia"	Kapauku Papuans and their law	1958	"Pospisil, Leopold J."	"New Haven, Conn.: Published for the Dept. Anthropology, Yale University"
400	1976-1985	"Gran Chaco region, Bolivia, Argentina"	The Mataco of the Gran Chaco: an ethnographic account of change and continuity in Mataco socio-economic organization	1988	"Alvarrsson, Jan-Ake"	"Uppsala, Sweden ; Stockholm, Sweden: Academiae Upsaliensis ; Distributed by Almqvist & Wiskell Inter"
401	1966-1978	Suriname	Co-wives and calabashes	1933	"Price, Sally"	Ann Arbor: University of Michigan Press
402	1970=1973	"Abkhazia, Georgia"	Abkhasians: the long-living people of the Caucasus	1974	"Benet, Sula"	"New York: Holt, Rinehart and Winston, xiv, 112 p.: ill"
403	1979-1982	"Abkhazia, Georgia"	From childhood to centenarian	1984	"Garb, Paula"	"Moscow: Progress Publishers, 182 p., [36] p. of plates: ill."
404	1964-1985	"Koniag Eskimos, Villages of Kaguyak and Old Harbor, Kodiak Island, Alaska, United States"	"Earthquake, tsunami, resettlement and survival in two north Pacific Alaskan native villages"	1986	"Davis, Nancy Yaw"	"Natural disasters and cultural responses, editors, Vinson H. Sutlive ‰Û_ [et al.] ; [Anthony Oliver-Sm"
405	1936-1941	"Chicago, Illinois., United States"	Black metropolis: a study of Negro life in a northern city 	1970	"Drake, St. Clair Clayton; Horace, Roscoe"	"New York: Harcourt, Brace & World, 1970. i-xiv, 379-767, xv-xxviii, 769-814 p.: ill., maps"
406	1970-1981	United States	Drylongso: a self-portrait of Black America	1981	"Gwaltney, John Langton"	"New York: Vintage Books, 1981. xxx, 287 p"
407	1930-1934	"Indianola, Mississippi, United States"	After freedom: a cultural study in the Deep South	1968	"Powdermaker, Hortense"	"New York: Atheneum, 1968. xxi, 408 p"
408	1930-1940	"Patuanak Chipewyans, Upper Churchill River area, Saskatchewan, Canada"	The ubiquitous bushman: Chipewyan-White trapper relations of the 1930's	1977	"Jarvenpa, Robert"	" Problems in the prehistory of the North American subarctic : the Athapaskan question, edited by J. "
409	1800-1947	Canada	Naskapi law: law and order in a hunting society	1947	"Lips, Julius"	"Transactions of the American Philosophical Society, n.s. -- Vol. 37, part 4"
410	1943-1945	"northern British Columbia, southeastern Yukon Territory, and southwestern Northwest Territories, Canada"	Culture and ethos of Kaska society	1949	"Bennett, Clark Wendell; Honigmann, John Joseph"	"New Haven, Conn.: Yale University Press, 1949. 366 p., 12 plates"
411	1943-1945	"northern British Columbia, southeastern Yukon Territory, and southwestern Northwest Territories, Canada"	The Kaska Indians: an ethnographic reconstruction	1954	"Honigmann, John Joseph"	"New Haven, Conn.: Yale University Press, 1954. 162 p."
412	1540-1975	"Cherokee Indian Reservation (Qualla Boundary), North Carolina, United States"	The Cherokee perspective: written by Eastern Cherokees	1981	"French, Laurence; Hornbuckle, Jim"	"Boone, North Carolina: Appalachian Consortium Press, 1981. xiv, 244"
413	1540-1775	" southeastern states, United States"	Cherokees in transition: a study of changing culture and environment prior to 1775	1977	"Goodwin, Cary C."	"Chicago: University of Chicago Press, 1977. x, 207"
414	1540-1973	"'Qualla Boundary' [Cherokee Indian Reservation], North Carolina, United States"	Cherokee plants and their uses: a 400 year history	1975	"Chiltoskey, Mary Ulmer; Hamel, Paul B."	"Sylva, N. C.: Herald Pub. Co., 1975. ix, 207 "
415	1997-1890	"North Carolina, southeastern states, Oklahoma, United States"	Myths of the Cherokee and sacred formulas of the Cherokees	1982	"Mooney, James"	"Nashville, Tenn.: C. Elder-Bookseller, [reproduced 1982]. 576, 301-397"
416	1971-1974	" community of Snowbird, Graham County, North Carolina, United States"	Snowbird Cherokees: people of persistence	1991	"Neely, Sharlotte"	"Athens: University of Georgia Press, 1991. x, 178"
417	1700-1800	southeastern United States	A law of blood: the primitive law of the Cherokee nation	1970	"Reid, John Phillip"	"New York: New York University Press, 1970. viii, 340 p."
418	1540-1907	Oklahoma and southeastern [especially North Carolina] United States	Fire and the spirits: Cherokee law fron clan to court	1975	"Strickland, Rennard Fire"	"Norman: University of Oklahoma Press, 1975. xx, 260 p.: ill."
419	1911-1912	southeastern United States and Oklahoma	Social organization and social usages of the Indians of the Creek Confederacy	1928	"Swanton, John Reed"	"Washington, DC: U.S. Govt. Print. Off., 1928. 23-472"
420	1675-1686	"New Brunswick, Canada"	New relation of Gaspesia: with the customs and religion of the Gaspesian Indians	1910	"Le Clercq, Christien"	"Toronto: The Champlain Society, 1910. xvi,"
421	1935-37	"Vancouver Island, British Columbia, Canada"	The Northern and central Nootkan tribes	1951	"Drucker, Philip"	"Washington: For sale by the Supt. of Docs., U.S. Govt. Print Off., 1951. ix, 480 p., 5 plates"
422	1922-1924	"Bella Coola Reserve, Bella Coola Valley, British Columbia, Canada"	The Bella Coola Indians: volume one	1948	"Mcllwraith, T.F."	"Toronto: University of Toronto Press, 1948. xxi, 763 p., 24 plates: map"
423	1925-1927	"Quinault Reservation, Washington, United States"	The Quinault Indians	1936	"Olson, Ronald L"	"Seattle, Wash.: The University of Washington, 1936. 194 p.: ill."
424	1860-1916	"Yurok Indians, USA"	To the American Indian	1916	"Thompson, Lucy"	"Eureka: Cummins Print Shop, 1916. 214 p., 2 plates"
425	1939	"Montana, United States"	The Assiniboines: From the accounts of the Old Ones told to First Boy (James Larpenteur Long)	1961	"Long, James Larpenteur"	"Norman: University of Oklahoma Press, 1961. lxxvi, 209 p.: ill., map"
426	1984-1986	southwestern United States	Being Comanche: a social history of an American Indian community	1991	"Foster, Morris W."	"Tucson: University of Arizona Press, 1991. xvi, 230 p.: ill., map"
427	1933	southwestern United States	The political organization and law-ways of the Comanche Indians	1940	"Hoebel, E. Adamson"	"Menasha: American Anthropological Association, 1940. 149 p."
428	"1933, 1945"	southwestern United States	The Comanches: lords of the south Plains	1952	"Hoebel, E. Adamson; Wallace, Ernest"	"Norman: University of Oklahoma Press, 1952. xviii, 381 p., 16 plates"
429	1938-1948	" Northern Plains, United States and Canada"	"The Gros Ventres of Montana: part 1, Social life"	1953	"Flannery, Regina"	"Washington: Catholic University of America Press, 1953. xiv, 221 p.: ill., map"
430	1871-1881	Omaha Indians in USA	Omaha sociology:	1881	"Dorsey, James Owen"	"Bureau of Ethnology, third annual report, 1881-82"
431	1875-1911	Omaha Indians in USA	The Omaha tribe:	1905	"Fletcher, Alice C."	"Twenty-seventh annual report of the Bureau of American Ethnology, 1905-06"
432	1969-1972	"Morley Reserve, Alberta, Canada"	These mountains are our sacred places: the story of the Stoney Indians	1977	"Snow, John"	"Toronto, Ontario, Canada: Samuel-Stevens, 1977. xiv, 178 p.: ill."
433	1964-1965	"Holmes County, Ohio, United States"	Genetic studies in an Amish isolate: volume 1	1967	"Cross, Harold E."	" Ann Arbor, Michigan: University Microfilms, 1967 [1987 copy]. 2, 12, 355, 54 l.: ill., maps"
434	1683-1980	"Pennsylvania, Ohio, Indiana, United States"	Amish society	1980	"Hostetler, John Andrew"	"Baltimore and London: Johns Hopkins University Press, 1980. 16, 415 p.: ill."
435	1951-1956	"Church District of Stoneyrun (a pseudonymn), Ohio, United States"	Dove at the window: a study of an Old Order Amish community in Ohio	1964	"Huntington, Abbie Gertrude Enders"	"Ann Arbor, Michigan: University Microfilms, 1964 [1987 copy]. 3, 10, 1088 181 leaves: ill., maps"
436	 This work is a study of Iowa's contemporary Old O	"Iowa, United States"	A peculiar people: Iowa's Old Order Amish	1975	"Schwieder, Elmer"	"Ames: Iowa State University Press, 1975. 10, 188 p.: ill., maps"
437	1971-1994	"Dearborn, Michigan, United States"	Challenges to the Arab-American family and ACCESS	1996	"Aswad, Barbara C.; Gray, Nancy Adadow"	Family and gender among American Muslims: issues facing Middle Eastern immigrants and their descenda
438	1979-1982	"San Francisco, Calif., United States"	"Chinatown: most time, hard time"	1991	"Loo, Chalsa M."	"New York: Praeger, 1991. xvi, 368 p.: ill., maps"
439	1850-1980s	"Monterey Bay region, Calif., United States"	Chinese gold: the Chinese in the Monterey Bay region	1985	"Lydon, Sandy"	"Capitola, Calif.: Capitola Book Co., 1985. xv, 550 p.: ill."
440	"summer 1970, 11 months from May 1971"	"San Francisco, Calif., United States"	Longtime Californ': a documentary study of an American Chinatown	1986	"Nee, Victor G.; Nee, Brett de Bary"	"Stanford, Calif.: Stanford University Press, 1986. xxvii, 423 p.: ill., map"
441	no date	United States	The Chinese experience in America	1986	"Tsai , Shih-shan Henry"	"Bloomington: Indiana University Press, 1986. xv, 223 p.: ill., maps"
442	1967-1970	"'Valley City,' Calif., United States"	Valley City: a Chinese community in America	1974	"Weiss, Melford S."	"Cambridge, Mass.: Schenkman, 1974. xvii, 269 p.: ill."
443	"1986, 1992-1993"	"south Florida, United States"	"Havana USA: Cuban exiles and Cuban Americans in south Florida, 1951-1994"	1996	"Garcia, Maria Cristina"	"Berkeley ; Los Angeles ; London: University of California Press, 1996. xiii, 290 p."
444	 ca. 1876-1980s	Canada	Italians in a multicultural Canada	1987	"Jansen, Clifford J."	"Lewiston, N. Y.: Edwin Mellen Press, 1987. vii, 235 p., plates: ill., map"
445	no date	"New York, N.Y., United States"	Hasidic people: a place in the new world	1992	"Mintz, Jerome R."	"Cambridge, Mass.: Harvard University Press, 1992. x, 434 p.: map"
446	1959-1988	"Johns Island, South Carolina , United States"	"Ain't you got a right to the tree of life?: The people of Johns Island, South Carolina -- their faces, their words, and their songs"	1989	"Carawan, Guy Carawan"	" Athens ; London: University of Georgia Press, 1989. 24, 240 p.: ill., map"
447	1670-1866	"South Carolina , United States"	'A peculiar people': slave religion and community-culture among the Gullahs	1988	"Creel, Margaret"	"New York ; London: New York University Press, 1988. 18, 417 p.: ill., maps"
448	1795-1939	"St. Simon's Island and environs, Georgia , United States"	Slave songs of the Georgia Sea Islands	1942	"Parrish, Lydia"	"New York: Creative Age Press, 1942. 32, 256 p.: ill., map"
449	1670-1865	"Sea Islands, South Carolina, United States"	An Afrocentric analysis of the transition and transformation of African Medicine (Root Medicine) as spiritual practice among Gullah people of Lowcountry South Carolina	2003	"Trott, Wendy Carmen"	" Ann Arbor, Mich.: Proquest Information and Learning, 2003 [2005 copy]. xi, 165 p.: ill."
450	1931-1937	"Southwest United States; northern Sonora and Chihuahua, Mexico"	"An Apache life-way: the economic, social, and religious institutions of the Chiricahua Indians"	1941	"Opler, Morris Edward"	"Chicago: University of Chicago Press, 1941. xviii, 500 p., 16 plates: ill."
451	"1951-1958, 1962"	"Arizona, United States"	Havasupai religion and mythology:	1964	"Euler, Robert C.; Smithson, Carma Lee"	"Salt Lake City: University of Utah Press, 1964. viii, 112 p."
452	1951-1958	"Havasupai, Cataract Canyon Region, Arizona, United States"	The Havasupai woman:	1959	"Smithson, Carma Lee"	"Salt Lake City: University of Utah Press, 1959. viii, 170 p.: ill."
453	1918-1920	"North-Central Arizona, United States"	Havasupai ethnography:	1928	"Spier, Leslie"	"New York city: The Trustees, 1928. 81-392 p: ill., maps"
